,ID,TimeStamp,Tweets,Likes,Retweet_count
574,221256540,2022-07-30 09:44:03+00:00,"In Kakkur, Kerala our volunteers organized a welcome program between students in honour of Smt. DroupadiMurmu Ji, Hon’bl…",0,20
575,26043862,2022-07-30 09:42:00+00:00,vaani Congratulations 👏🏻 DroupadiMurmu Ji on becoming the PresidentofIndia 💐,2,0
576,26043862,2022-07-30 09:40:53+00:00,vaani: Proud Moment/Times🇮🇳🙂🙏🏻🪔India PresidentofIndia DroupadiMurmu,0,4
577,1418533320447578114,2022-07-30 09:40:29+00:00,Office: DroupadiMurmu takes oath as the 15th President of India. She is the second woman President of the country and first-e…,0,129
578,876072970023612416,2022-07-30 09:40:16+00:00,Union Home Minister Amit Shah calls on President DroupadiMurmu at Rashtrapati Bhavan in Delhi.,0,10
579,1264485700361170944,2022-07-30 09:38:26+00:00,"As an amend,Congress MP Adhir Ranjan Chowdhury Seeks an Apology From the President Of India adhirchowdhury droupadimurmu soniagandhi",7,6
580,141584822,2022-07-30 09:38:23+00:00,Q1. Should Congress () interim president SoniaGandhi apologise for AdhirRanjanChowdhury () remarks about President DroupadiMurmu?,4,1
581,1308983761669943296,2022-07-30 09:33:09+00:00,Congress leader Adhir Ranjan Chowdhary apologises to President DroupadiMurmu over his alleged objectionable remark abou…,0,7
582,1449545141228736523,2022-07-30 09:29:53+00:00,Congress leader Adhir Ranjan Chowdhary apologises to President DroupadiMurmu over his alleged objectionable remark abou…,0,7
583,1100256771304771584,2022-07-30 09:27:20+00:00,Union Home Minister Amit Shah calls on President DroupadiMurmu at Rashtrapati Bhavan in Delhi.,0,10
584,1417444544438628356,2022-07-30 09:23:28+00:00,Congratulations India ❤️PresidentofIndia DroupadiMurmu,0,1366
585,1108409233,2022-07-30 09:10:02+00:00,‘Slip Of Tongue’: Congress Leader Adhir Ranjan Chowdhury Tenders Written Apology To President MurmuAdhirRanjanChowd…,0,3
586,1108409233,2022-07-30 09:09:51+00:00,President DroupadiMurmu writes to SriLankan President RanilWickremesinghe thanking him for his letter of congratula…,0,2
587,1412411517035814912,2022-07-30 08:59:55+00:00,hindu: Just in | Congress leader Adhir Ranjan Chowdhury sends a letter to apologise to President DroupadiMurmu. | reports.,0,2
588,825057566459834370,2022-07-30 08:52:56+00:00,"After AdhirRanjanChowdhury, in an alleged “slip of tongue,” called President DroupadiMurmu 'rashtrapatni', discussion on ho…",0,1
589,768354115600527360,2022-07-30 08:48:53+00:00,"Shri Raj Kumar Singh, Union Minister for and along with Shri , MoS for and …",0,6
590,768354115600527360,2022-07-30 08:46:15+00:00,"Union Minister for , Shri , called on President DroupadiMurmu at RashtrapatiBhavan. 💐 ht…",0,6
591,768354115600527360,2022-07-30 08:46:09+00:00,A Parliamentary delegation from Mozambique called on President DroupadiMurmu at Rashtrapatibhavan. 💐 …,0,5
592,89413680,2022-07-30 08:39:24+00:00,"In this episode of Nothing But The Truth looks at the storied career of DroupadiMurmu, the significance…",0,3
593,2982269822,2022-07-30 08:34:54+00:00,"After AdhirRanjanChowdhury, in an alleged “slip of tongue,” called President DroupadiMurmu 'rashtrapatni', discussion on how the president should be addressed when the post is held by a woman started. and @pratikwaghmare report.",3,1
594,1108409233,2022-07-30 08:25:48+00:00,Union Minister for Education and Skill Development &amp; Entrepreneurship DharmendraPradhan along with Minister of State…,0,5
595,1353067306214019074,2022-07-30 08:21:11+00:00,First woman from her village to attain higher education.First woman Governor of Jharkhand.First tribal woman President…,0,15
596,299259954,2022-07-30 08:15:35+00:00,Union Minister for Education and Skill Development &amp; Entrepreneurship Dharmendra Pradhan along with Minister of State in…,0,4
597,1488880499087265794,2022-07-30 08:13:21+00:00,vaani: Proud Moment/Times🇮🇳🙂🙏🏻🪔India PresidentofIndia DroupadiMurmu,0,4
598,1428585879841300485,2022-07-30 08:10:48+00:00,Union Minister for Education and Skill Development &amp; Entrepreneurship DharmendraPradhan along with Minister of State…,0,5
599,1073676020,2022-07-30 08:09:02+00:00,"In this episode of Nothing But The Truth looks at the storied career of DroupadiMurmu, the significance…",0,3
600,19897138,2022-07-30 08:08:05+00:00,"In this episode of Nothing But The Truth looks at the storied career of DroupadiMurmu, the significance…",0,3
601,1441389348578992137,2022-07-30 08:03:04+00:00,"DroupadiMurmu has been elected as the 15th President of India, and she elected in the elections of ?A) 15th President…",0,27
602,1498269889701679108,2022-07-30 07:56:30+00:00,"In this episode of Nothing But The Truth looks at the storied career of DroupadiMurmu, the significance of having an Adivasi woman as the President ,and how Murmu has challenged the status quo in her past stints in government.Tune in🎧",0,3
603,1190492439934459904,2022-07-30 07:54:52+00:00,in: Union Minister DharmendraPradhan called on President DroupadiMurmu at Rashtrapati Bhavan &amp; presented her with a Sambalp…,0,2
604,1363543554048499713,2022-07-30 07:53:48+00:00,The beauty of Indian democracy is that today a tribal woman is going to become the President.PresidentofIndia Presid…,0,2
605,1387267183844098049,2022-07-30 07:52:40+00:00,srinagar rajnathsingh calls on President DroupadiMurmu,0,0
606,1488900918544572419,2022-07-30 07:52:34+00:00,President DroupadiMurmu should be respected. I am from the Congress party but I condemn his remarks: Congress MLA IrfanAnsa…,0,3
607,178719304,2022-07-30 07:50:38+00:00,rajnathsingh calls on President DroupadiMurmu,2,1
608,1501591023201681409,2022-07-30 07:50:13+00:00,in: Union Minister DharmendraPradhan called on President DroupadiMurmu at Rashtrapati Bhavan &amp; presented her with a Sambalp…,0,2
609,34245009,2022-07-30 07:43:23+00:00,RajnathSingh meets President DroupadiMurmu at rashtrapatibhavanDraupadiMurmu droupadimurmuji,11,1
610,1537927621509402627,2022-07-30 07:41:54+00:00,Proud Moment/Times🇮🇳🙂🙏🏻🪔India PresidentofIndia DroupadiMurmu,6,4
611,1335199667571679232,2022-07-30 07:39:56+00:00,"Union Minister DharmendraPradhan called on President DroupadiMurmu at Rashtrapati Bhavan &amp; presented her with a Sambalpuri Uttariya &amp; a book ‘Pabitra Granthabali’ on Pabitra Mohan Pradhan, great freedom fighter, patriot, leader of the Praja Mandal movement &amp; pride of Odisha",3,2
612,1506151627756957701,2022-07-30 07:37:28+00:00,Union Minister for Education and Skill Development &amp; Entrepreneurship DharmendraPradhan along with Minister of State…,0,5
613,128334973,2022-07-30 07:37:10+00:00,"timesofindia: Union Minister for Education and Skill Development &amp; Entrepreneurship Dharmendra Pradhan along with Minister of State in the Ministry of Education Subhas Sarkar, called on President DroupadiMurmu at RashtrapatiBhavan. (ANI)",0,0
614,389485282,2022-07-30 07:35:09+00:00,"Union Minister for Education and Skill Development &amp; Entrepreneurship DharmendraPradhan along with Minister of State in the Ministry of Education SubhasSarkar, called on President DroupadiMurmu at RashtrapatiBhavan | ANI",0,0
615,756922689961459712,2022-07-30 07:34:00+00:00,First woman from her village to attain higher education.First woman Governor of Jharkhand.First tribal woman President o…,0,141
616,897350289254105088,2022-07-30 07:33:55+00:00,Union Minister for Education and Skill Development &amp; Entrepreneurship Dharmendra Pradhan along with Minister of State in…,0,4
617,1095764095637192704,2022-07-30 07:32:31+00:00,The beauty of Indian democracy is that today a tribal woman is going to become the President.PresidentofIndia Presid…,0,2
618,1190492439934459904,2022-07-30 07:32:17+00:00,Union Minister for Education and Skill Development &amp; Entrepreneurship DharmendraPradhan along with Minister of State in t…,0,1
619,586626189,2022-07-30 07:30:15+00:00,"Union Minister for Education and Skill Development &amp; Entrepreneurship DharmendraPradhan along with Minister of State in the Ministry of Education SubhasSarkar, called on President DroupadiMurmu at Rashtrapati Bhavan",1,1
620,1370661451627520000,2022-07-30 07:30:15+00:00,PR: A Historic and Proud Moment for the Country!IFFCO congratulates Smt Droupadi Murmu on the achievement. Your journey is an in…,0,9
621,1076766314763411458,2022-07-30 07:26:57+00:00,"DroupadiMurmuBy playing which Holi, we get all happiness and complete salvation?GodMorningThursdayRead the book ""…",0,61
622,285607881,2022-07-30 07:25:17+00:00,uae: Truly proud of Smt MurmuMadamePresident It takes a lot of strength of character to recover from such adversity as she has fac…,0,1
623,1383624416819511306,2022-07-30 07:24:47+00:00,DroupadiMurmu takes oath as 15th President of India. । MCC । । tv । India । @…,0,229
624,1282698282116866048,2022-07-30 07:24:09+00:00,Union Minister for Education and Skill Development &amp; Entrepreneurship Dharmendra Pradhan along with Minister of State in…,0,4
625,1547787741139591173,2022-07-30 07:21:00+00:00,Congress leader Adhir Ranjan Chowdhary apologises to President DroupadiMurmu over his alleged objectionable remark abou…,0,7
626,134758540,2022-07-30 07:20:58+00:00,"Union Minister for Education and Skill Development &amp; Entrepreneurship Dharmendra Pradhan along with Minister of State in the Ministry of Education Subhas Sarkar, called on President DroupadiMurmu at RashtrapatiBhavan. (ANI)",36,4
627,2262532860,2022-07-30 07:20:09+00:00,"Union Minister for Education and Skill Development &amp; Entrepreneurship DharmendraPradhan along with Minister of State in the Ministry of Education Subhas Sarkar, called on President DroupadiMurmu at Rashtrapati Bhavan. (ANI)",0,5
628,2681920896,2022-07-30 07:17:28+00:00,"Odisha scripts history as Smt. DroupadiMurmu gets elected as the 15th PresidentofIndiaWatch the inspiring journey of Smt. DroupadiMurmuJi in this new episode of , a creative initiative of comm.Watch it here ►",1,0
629,1159240877505572864,2022-07-30 07:16:46+00:00,President DroupadiMurmu paid her tribute to soldiers who fought the 1999 war with Pakistan on the occasion of KargilVijayDi…,0,2
630,1446408453409308674,2022-07-30 07:15:16+00:00,"In Kakkur, Kerala our volunteers organized a welcome program between students in honour of Smt. DroupadiMurmu Ji, Hon’bl…",0,20
631,1501591023201681409,2022-07-30 07:14:18+00:00,in: Delhi: Union Minister for Education and Skill Development &amp; Entrepreneurship DharmendraPradhan () along wit…,0,1
632,1288018065427329024,2022-07-30 07:11:37+00:00,“My nomination is proof that the poor in India can not only dream but also fulfil those dreams.” A powerful message b…,0,354
633,1552485972264095744,2022-07-30 07:07:12+00:00,hindu: Former Jharkhand Governor and National Democratic Alliance (NDA) candidate DroupadiMurmu was elected the 15 th President…,0,112
634,357464663,2022-07-30 07:06:33+00:00,Congress leader Adhir Ranjan Chowdhary apologises to President DroupadiMurmu over his alleged objectionable remark abou…,0,7
635,1335199667571679232,2022-07-30 07:00:37+00:00,"Delhi: Union Minister for Education and Skill Development &amp; Entrepreneurship DharmendraPradhan () along with Minister of State in the Ministry of Education, Subhas Sarkar (), called on President DroupadiMurmu at Rashtrapati Bhavan",6,1
636,1553249501498200064,2022-07-30 06:55:33+00:00,Hearty Congratulations To Newly Elected 15 Prasident Of India. jibjp …,0,1
637,1386026609128448006,2022-07-30 06:48:48+00:00,"Union Minister for , Shri , called on President DroupadiMurmu at RashtrapatiBhavan. 💐 ht…",0,6
638,847760357548412928,2022-07-30 06:48:10+00:00,"Union Minister for , Shri , called on President DroupadiMurmu at RashtrapatiBhavan. 💐 ht…",0,6
639,1540304704525242370,2022-07-30 06:47:39+00:00,"Union Minister for , Shri , called on President DroupadiMurmu at RashtrapatiBhavan. 💐",58,6
640,36327407,2022-07-30 06:35:04+00:00,"Union Minister for Education and Skill Development &amp; Entrepreneurship Dharmendra Pradhan along with Minister of State in the Ministry of Education Subhas Sarkar, called on President DroupadiMurmu at Rashtrapati Bhavan",26,0
641,1159349627709087744,2022-07-30 06:32:52+00:00,Congress leader Adhir Ranjan Chowdhary apologises to President DroupadiMurmu over his alleged objectionable remark abou…,0,7
642,982411422905778176,2022-07-30 06:31:18+00:00,Congress leader Adhir Ranjan Chowdhary apologises to President DroupadiMurmu over his alleged objectionable remark about her.,0,0
643,2359549314,2022-07-30 06:30:58+00:00,"In Kakkur, Kerala our volunteers organized a welcome program between students in honour of Smt. DroupadiMurmu Ji, Hon’bl…",0,20
644,37396883,2022-07-30 06:30:48+00:00,"In Kakkur, Kerala our volunteers organized a welcome program between students in honour of Smt. DroupadiMurmu Ji, Hon’bl…",0,20
645,1056850669,2022-07-30 06:30:04+00:00,Congress leader Adhir Ranjan Chowdhary apologises to President DroupadiMurmu over his alleged objectionable remark about her.,54,7
646,1333437116123004928,2022-07-30 06:27:42+00:00,DroupadiMurmu Is India's New President,0,544
647,1467910131258048512,2022-07-30 06:21:38+00:00,DroupadiMurmu takes as oath President of India. She is 🔹 15th President of India. 🔹 2nd woman President🔹 1st Trib…,0,57
648,861560902260281344,2022-07-30 06:17:10+00:00,Union Defence Minister RajnathSingh called on President DroupadiMurmu at Rashtrapati Bhavan in Delhi,5,0
649,1096078640163573760,2022-07-30 06:07:06+00:00,"In Kakkur, Kerala our volunteers organized a welcome program between students in honour of Smt. DroupadiMurmu Ji, Hon’bl…",0,20
650,979273137136300032,2022-07-30 05:57:10+00:00,President DroupadiMurmu in a letter to SriLanka President Wickremesinghe emphasized on India's neighbourhood first policy,3,0
651,586626189,2022-07-30 05:56:14+00:00,Union Defence Minister RajnathSingh called on President DroupadiMurmu at Rashtrapati Bhavan in Delhi,1,0
652,1528990201661751296,2022-07-30 05:56:14+00:00,. leader Adhir Ranjan Chowdhury on Friday wrote to President Draupadi Murmu and apologised to her for his objectiona…,0,1
653,1546355611155439616,2022-07-30 05:55:09+00:00,NewsAlert | Union Home Minister Amit Shah called on President DroupadiMurmu at Rashtrapati Bhavan(📸: ) https:…,0,5
654,18159588,2022-07-30 05:53:59+00:00,Union Defence Minister RajnathSingh called on President DroupadiMurmu at Rashtrapati Bhavan in Delhi,1,0
655,18159588,2022-07-30 05:52:34+00:00,. leader Adhir Ranjan Chowdhury on Friday wrote to President Draupadi Murmu and apologised to her for his objectionable remark.AdhirRanjanChaudhary Congress DroupadiMurmu,3,1
656,1194029573526175744,2022-07-30 05:49:08+00:00,in: Union Defence Minister called on President DroupadiMurmu at Rashtrapati Bhavan,0,2
657,1428585879841300485,2022-07-30 05:48:41+00:00,Union Defence Minister RajnathSingh called on President DroupadiMurmu at RashtrapatiBhavan in Delhi …,0,3
658,1302219795782279168,2022-07-30 05:48:01+00:00,Congratulations and best wishes to Smt. DroupadiMurmu ji on being elected as the 15th Hon. President of India. Your sto…,0,334
659,2262532860,2022-07-30 05:47:25+00:00,Union Defence Minister RajnathSingh called on President DroupadiMurmu at RashtrapatiBhavan in Delhi,3,3
660,1405959310828474370,2022-07-30 05:47:18+00:00,"Shri Raj Kumar Singh, Union Minister for and along with Shri , MoS for and …",0,6
661,1501591023201681409,2022-07-30 05:46:00+00:00,in: Union Defence Minister called on President DroupadiMurmu at Rashtrapati Bhavan,0,2
662,1335199667571679232,2022-07-30 05:44:39+00:00,Union Defence Minister called on President DroupadiMurmu at Rashtrapati Bhavan,6,2
663,1546355611155439616,2022-07-30 05:39:49+00:00,Union Home Minister Amit Shah calls on President DroupadiMurmu at Rashtrapati Bhavan in Delhi.,0,10
